Date,Site,Section,Quad #,Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Photo ID,Method,# Per Quadrat,# Per m^2,% Cover,Pi,ln(pi),Pi*ln(pi),H',Pi^2,SUM Pi^2,D,Species,Count,Rank,,,,,,,,,,Count,Rank
5/18/18,1,E,1,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,-,Quadrat Sampling,3,3.587971684,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,6,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6916-6919,Quadrat Sampling,3,3.587971684,ND,-,,,Or convert sessile things to persent cover,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6097-6100,Quadrat Sampling,3,3.587971684,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,9,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6903-6905,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,3,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6961-6963,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,-,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,-,Barnacle,SAM 0226-0228,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
5/18/18,1,E,1,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,crenatus,Wrinkled Barnacle,IMG 5765-5767,Quadrat Sampling,26,31.09575459,ND,0.014606742,-4.226272105,0.061732064,,0.000213357,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,IMG 7080,Quadrat Sampling,1970,2356.101406,20%,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,IMG 7012-7013 ,Quadrat Sampling,1870,2236.50235,20%,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,SAM 1136,Quadrat Sampling,1850,2212.582538,36%,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"SAM 0189, 0192-0193, 0197, 0199-0200, 0351 IMG 6081-6082",Quadrat Sampling,1640,1961.42452,25%,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,8,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"IMG 7004-7005, 7012-7013",Quadrat Sampling,1600,1913.584898,20%,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,"IMG 7076-7077, 7080",Quadrat Sampling,1470,1758.106125,35%,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,SAM 1139-1141,Quadrat Sampling,1290,1542.827824,15%,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,2,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,IMG 5858-5859,Quadrat Sampling,178,212.8863199,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,1,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,"IMG_5759, 5762.",Quadrat Sampling,12,14.35188673,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,3,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,IMG_5748-5750,Quadrat Sampling,10,11.95990561,ND,0.014044944,-4.265492818,0.059908607,,0.00019726,,,,,,,,,,,,,,,,
6/29/18,1,H,3,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,IMG 6960,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,2,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,IMG 5779,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,-,Quadrat Sampling,134,160.2627352,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 7086,Quadrat Sampling,59,70.56344311,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 7072,Quadrat Sampling,44,52.62358469,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,8,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 7025,Quadrat Sampling,31,37.0757074,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 6969,Quadrat Sampling,26,31.09575459,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 6092-6096,Quadrat Sampling,24,28.70377347,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 6993,Quadrat Sampling,22,26.31179235,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,-,Quadrat Sampling,8,9.56792449,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,8,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 6945,Quadrat Sampling,2,2.391981122,ND,0.197191011,-1.62358242,0.320155859,,0.038884295,,,,,,,,,,,,,,,,
6/29/18,1,H,3,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,IMG 6964,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,2,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,IMG 5782,Quadrat Sampling,9,10.76391505,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,3,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,IMG_5753-5756,Quadrat Sampling,1,1.195990561,ND,0.006741573,-4.999461993,0.033704238,,4.54488E-05,,,,,,,,,,,,,,,,
6/29/18,1,H,6,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,IMG 6910-6914,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,2,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,IMG 6920-6921,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,"SAM 1137, IMG 6979",Quadrat Sampling,64,76.54339592,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,-,Quadrat Sampling,25,29.89976403,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,-,Quadrat Sampling,25,29.89976403,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,SAM 1138,Quadrat Sampling,18,21.5278301,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,IMG 7020-7021,Quadrat Sampling,18,21.5278301,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,8,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,-,Quadrat Sampling,16,19.13584898,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,2,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,IMG 5860,Quadrat Sampling,1,1.195990561,ND,0.095505618,-2.348570206,0.224301649,,0.009121323,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,-,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,SAM 0224-0225,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,IMG 6103,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,"SAM 1135, IMG 6978",Quadrat Sampling,54,64.58349031,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,8,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 7003-7004,Quadrat Sampling,28,33.48773571,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 7085,Quadrat Sampling,28,33.48773571,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,SAM 1141,Quadrat Sampling,26,31.09575459,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 7018-7019,Quadrat Sampling,24,28.70377347,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 7078-7079,Quadrat Sampling,14,16.74386786,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,1,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,SAM 9700-9703,Quadrat Sampling,5,5.979952806,ND,0.10505618,-2.253260026,0.23671889,,0.011036801,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,"SAM 0190-0191, 0201-0202",Quadrat Sampling,5,5.979952806,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,8,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 6946-6948,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,5,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 6949,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,IMG 6084-6088,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,8,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,-,-,Duck Clams,IMG 6942-6944,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
6/29/18,1,H,4,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Tresus,capax,Fat Gaper,IMG 6932,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
6/29/18,1,H,3,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,IMG 6965,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,IMG 6971,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,7,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,IMG 6928,Quadrat Sampling,1,1.195990561,ND,0.002808989,-5.874930731,0.016502614,,7.89042E-06,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 6994,Quadrat Sampling,12,14.35188673,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,5,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 7074,Quadrat Sampling,5,5.979952806,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,4,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 6970,Quadrat Sampling,3,3.587971684,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 6101,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
5/18/18,1,E,1,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,"IMG 5768-5769, 5852",Quadrat Sampling,1,1.195990561,ND,0.015168539,-4.188531777,0.063533909,,0.000230085,,,,,,,,,,,,,,,,
6/29/18,1,H,9,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 6906,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,5,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,IMG 6959,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,9,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,No Photo,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/30/18,1,D,6,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,No Photo,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,H,8,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus,gigantea,Washington Butter Clam,IMG 6941,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,"SAM 1142, 1180",Quadrat Sampling,2,2.391981122,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,SAM 0354-0355,Quadrat Sampling,1,1.195990561,ND,0.00505618,-5.287144066,0.026732751,,2.5565E-05,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,"SAM 0207-0208, 0211, 0343, 0349",Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,SAM 0216,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,SAM 0218,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/29/18,1,D,7,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,IMG 6998-6999,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,"SAM 0210, 0211, 0215, 0217",Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,3,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,"SAM 0214, 0346",Quadrat Sampling,1,1.195990561,ND,-,,,,,,,,,,,,,,,,,,,,
6/8/18,1,D,2,Animalia,Mollusca,Gastropoda,Littorinidae,Littorinidae,Littorina,scutulata,Checkered Periwinkle,"SAM 0356, 0351",Quadrat Sampling,80,95.6792449,ND,0.04494382,-3.102342009,0.139431102,,0.002019947,,,,,,,,,,,,,,,,
