Date,Site,Section,Quadrat,NS (ft),WE (ft from HTL),Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Number of individuals,,,,
6/30/2018,1,D,9,48,76,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,1,,,,
6/30/2018,1,D,9,48,76,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,42,,,,
6/30/2018,1,D,9,48,76,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1470,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,134,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,59,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,25,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,14,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,1,,,,
6/30/2018,1,D,9,48,76,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,150,,,,
5/18/2018,1,E,1,3,113,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,procera,Little Pileworm Sea Nymph,1,,,,
5/18/2018,1,E,1,3,113,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,3,,,,
5/18/2018,1,E,1,3,113,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,crenatus,Wrinkled Barnacle,26,,,,
5/18/2018,1,E,1,3,113,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,12,,,,
5/18/2018,1,E,1,3,113,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,5,,,,
5/18/2018,1,E,1,3,113,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,1,,,,
5/18/2018,1,E,1,3,113,Animalia,Mollusca,Gastropoda,Littotinimorpha,Naticoidea,Neverita,lewisii,Lewis' Moonsnail,1,,,,
5/18/2018,1,E,2,3,105,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,2,,,,
5/18/2018,1,E,2,3,105,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,30,,,,
5/18/2018,1,E,2,3,105,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,178,,,,
5/18/2018,1,E,2,3,105,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,1,,,,
5/18/2018,1,E,2,3,105,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,9,,,,
5/18/2018,1,E,2,3,105,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,1,,,,
5/18/2018,1,E,3,3,121,Animalia,Annelida,Nemertea,Monostilifera,Emplectonema,Emplectonema,-,Ribbon Worm,1,,,,
5/18/2018,1,E,3,3,121,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,-,Goddess Worm,1,,,,
5/18/2018,1,E,3,3,121,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,2,,,,
5/18/2018,1,E,3,3,121,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,3,,,,
5/18/2018,1,E,3,3,121,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,10,,,,
5/18/2018,1,E,3,3,121,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,1,,,,
6/29/2018,1,H,2,70,196,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,4,,,,
6/29/2018,1,H,2,70,196,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,1,,,,
6/29/2018,1,H,3,70,161,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,1,,,,
6/29/2018,1,H,3,70,161,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Excentric Sand Dollar,2,,,,
6/29/2018,1,H,3,70,161,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,1,,,,
6/29/2018,1,H,3,70,161,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,2,,,,
6/29/2018,1,H,4,55,171,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,5,,,,
6/29/2018,1,H,4,55,171,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Tresus,capax,Fat Gaper,1,,,,
6/29/2018,1,H,5,55,161,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,6,,,,
6/29/2018,1,H,5,55,161,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,1,,,,
6/29/2018,1,H,5,55,161,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,1,,,,
6/29/2018,1,H,6,55,196,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,-,Sea Nymph,1,,,,
6/29/2018,1,H,6,55,196,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,3,,,,
6/29/2018,1,H,6,55,196,Animalia,Mollusca,Bivalvia,Cardiida,Tellinoidea,Macoma,-,Macoma,1,,,,
6/29/2018,1,H,7,41,171,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,5,,,,
6/29/2018,1,H,7,41,171,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,1,,,,
6/29/2018,1,H,8,41,161,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,-,Goddess Worm,1,,,,
6/29/2018,1,H,8,41,161,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,-,Sea Nymph,1,,,,
6/29/2018,1,H,8,41,161,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,2,,,,
6/29/2018,1,H,8,41,161,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,1,,,,
6/29/2018,1,H,8,41,161,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,-,-,Duck Clams,1,,,,
6/29/2018,1,H,8,41,161,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus,gigantea,Washington Butter Clam,1,,,,
6/29/2018,1,H,9,41,196,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,2,,,,
6/29/2018,1,H,9,41,196,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,1,,,,
