Date,Time,Site,Habitat Type,Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Photo ID,Method,#seen,,,,,,,,,,,,,
7/3/18,7:48 AM,4,Edge Habitat,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,"SAM 1351-1352, 1384",Bird Survey,2,,,,,,,,,,,,,
7/3/18,,4,,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,-,Bird Survey,2,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,6:54 AM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,-,-,-,Perching Birds,"SAM 1311-1312, 1359-1360",Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:23 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,Cedar Waxing,"SAM 1317-1327, 1362-1371",Bird Survey,2,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American Crow,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:25 AM,4,ND,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,ND,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/3/18,ND,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn Swallow,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/3/18,7:55 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Northern Rough Winged Swallow,No Photo,Bird Survey,3,,,,,,,,,,,,,
7/3/18,ND,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Northern Rough Winged Swallow,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:46 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,thalassina,Violet Green Swallow,"SAM 1345-1350, 1379-1383",Bird Survey,4,,,,,,,,,,,,,
7/3/18,7:35 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red Winged Black Bird,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/3/18,ND,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red Winged Black Bird,No Photo,Bird Survey,4,,,,,,,,,,,,,
7/3/18,7:35 AM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,atricapillus,Black Capped Chickadee,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/3/18,7:40 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Parulidae,-,-,Wood Warbler,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:37 AM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothypis,trichas,Common Yellow Throat,"SAM 1340-1342, 1377-1378",Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:42 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 1343-1344,Bird Survey,1,,,,,,,,,,,,,
7/3/18,2:40 PM,4,ND,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/3/18,6:51 AM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 1309-1310, 1357-1358",Bird Survey,8,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotichia,leucocephalus,White Crowned Sparrow,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Passeriformes,Turdidae,-,-,Thrush,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:20 AM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,ustulatus,Swainson's Thrush,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,6:56 AM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,"SAM 1313-1315, 1361",Bird Survey,6,,,,,,,,,,,,,
7/3/18,ND,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:30 AM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,traillii,Willow Flycatcher,"SAM 1328-1337, 1372-1376",Bird Survey,1,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great Blue Heron,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,6:47 AM,4.5,Forest,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,ruber,Red Breasted Sapsucker,"SAM 1302-1308, 1353-1356",Bird Survey,1,,,,,,,,,,,,,
7/4/18,5:30 AM,4,Edge Habitat,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/4/18,5:30 AM,4,ND,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,-,-,Swallow,No Photo,Bird Survey,3,,,,,,,,,,,,,
7/4/18,5:30 AM,4,ND,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothypis,trichas,Common Yellow Throat,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/4/18,5:30 AM,4,ND,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,No Photo,Bird Survey,7,,,,,,,,,,,,,
7/4/18,5:00 AM,4.5,Forest,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,macalatus,Spotted Towhee,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/4/18,5:00 AM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,No Photo,Bird Survey,7,,,,,,,,,,,,,
5/19/18,,1,Intertidal,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,SAM 9861,Survey,1,,,,,,,,,,,,,
5/19/18,,1,Intertidal,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,-,Large White Headed Gulls,SAM 9857-9860,Survey,2,,,,,,,,,,,,,
